河北省巨鹿	115.03	37.22	-1193
河北省宣化	115.03	40.63	-1193
河北省平乡	115.02	37.06	-1195
河北省唐县	114.97	38.75	-1207
河北省无极	114.96	38.16	-1210
河北省魏县	114.94	36.37	-1214
河北省广平	114.94	36.49	-1214
河北省曲周	114.92	36.78	-1219
河北省宁普	114.9	37.62	-1224
河北省张家口	114.87	40.82	-1231
河北省藁城	114.84	38.03	-1238
河北省肥乡	114.8	36.56	-1248
河北省赵县	114.78	37.76	-1253
河北省隆尧	114.75	37.35	-1260
河北省万全	114.73	40.84	-1265
河北省南和	114.71	37	-1270
河北省张北	114.7	41.15	-1272
河北省曲阳	114.68	38.62	-1277
河北省成安	114.68	36.43	-1277
河北省任县	114.68	37.11	-1277
河北省柏乡	114.68	37.49	-1277
河北省涞源	114.67	39.37	-1279
河北省新乐	114.67	38.33	-1279
河北省栾城	114.64	38.87	-1286
河北省临漳	114.62	36.35	-1291
河北省康保	114.6	41.87	-1296
河北省高邑	114.58	37.62	-1301
河北省正定	114.56	38.13	-1306
河北省行唐	114.54	38.42	-1310
河北省蔚县	114.53	39.83	-1313
河北省沙河	114.52	36.94	-1315
河北省元氏	114.5	37.74	-1320
河北省临城	114.5	37.43	-1320
河北省内丘	114.5	37.28	-1320
河北省永年	114.5	36.77	-1320
河北省石家庄	114.48	38.03	-1325
河北省邢台	114.48	37.05	-1325
河北省邯郸	114.47	36.6	-1327
河北省怀安	114.38	40.67	-1349
河北省灵寿	114.38	38.31	-1349
河北省磁县	114.37	36.37	-1351
河北省赞皇	114.35	37.65	-1356
河北省平山	114.24	38.2	-1382
河北省武安	114.2	36.7	-1392
河北省阜平	114.18	38.85	-1397
河北省阳原	114.15	40.12	-1404
河北省井陉	114.13	38.03	-1409
河北省获鹿	114.03	38.08	-1433
河北省定县	114.02	38.52	-1435
河北省尚义	113.95	41.05	-1452
河北省鸡泽	113.85	36.95	-1476
河北省涉县	113.67	36.57	-1519
山东省荣成	122.41	37.16	578
山东省威海	122.1	37.5	504
山东省文登	122.05	37.2	492
山东省牟平	121.59	37.38	382
山东省乳山	121.52	36.89	365
山东省烟台	121.39	37.52	334
山东省福山	121.27	37.49	305
山东省海阳	121.17	36.76	281
山东省栖霞	120.83	37.28	199
山东省蓬莱	120.75	37.8	180
山东省长岛	120.73	37.91	175
山东省莱阳	120.71	36.97	170
山东省莱西	120.53	36.86	127
山东省黄县	120.51	37.64	122
山东省即墨	120.45	36.38	108
山东省崂山	120.42	36.15	101
山东省招远	120.38	37.35	91
山东省青岛	120.33	36.07	79
山东省胶县	120	36.28	0
山东省平度	119.97	36.77	-7
山东省胶南	119.97	35.88	-7
山东省掖县	119.93	37.18	-17
山东省高密	119.75	36.38	-60
山东省日照	119.46	35.42	-130
山东省诸城	119.42	35.99	-139
山东省昌邑	119.41	36.86	-142
山东省潍县	119.22	36.77	-187
山东省五莲	119.2	35.74	-192
山东省安丘	119.2	36.42	-192
山东省潍坊	119.1	36.62	-216
山东省昌乐	118.83	36.69	-281
山东省莒南	118.83	35.17	-281
山东省营县	118.83	35.57	-281
山东省临沭	118.73	34.89	-305
山东省寿光	118.73	36.86	-305
山东省沂水	118.64	35.78	-326
山东省垦利	118.54	37.59	-350
山东省临朐	118.53	36.5	-353
山东省东营	118.49	37.46	-362
山东省沂南	118.47	35.54	-367
山东省高都	118.47	36.69	-367
山东省广饶	118.41	37.04	-382
山东省青州	118.4	36.4	-384
山东省临沂	118.35	35.05	-396
山东省郯城	118.35	34.61	-396
山东省利津	118.25	37.49	-420
山东省沂源	118.17	36.18	-439
山东省沾化	118.14	37.7	-446
山东省桓台	118.12	36.95	-451
山东省博兴	118.12	37.12	-451
山东省淄博	118.05	36.78	-468
山东省滨州	118.03	37.36	-473
山东省仓山	118.03	34.84	-473
山东省滨县	117.97	37.47	-487
山东省费县	117.97	35.26	-487
山东省蒙阴	117.95	35.7	-492
山东省新泰	117.76	35.91	-538
山东省邹平	117.75	36.89	-540
山东省新汶	117.67	35.86	-559
山东省莱芜	117.67	36.19	-559
山东省高青	117.66	37.18	-562
山东省平邑	117.63	35.49	-569
山东省阳信	117.58	37.65	-581
山东省无棣	117.58	37.73	-581
山东省枣庄	117.57	34.86	-583
山东省章丘	117.53	36.72	-593
山东省庆云	117.37	37.37	-631
山东省惠民	117.31	37.49	-646
山东省泗水	117.27	35.65	-655
山东省乐陵	117.22	37.74	-667
山东省济阳	117.2	36.97	-672
山东省滕县	117.17	35.09	-679
山东省商河	117.15	37.31	-684
山东省泰安	117.13	36.18	-689
山东省微山	117.12	34.8	-691
山东省历城	117.07	36.69	-703
山东省济南	117	36.65	-720
山东省曲阜	116.98	35.59	-725
山东省邹县	116.97	35.39	-727
山东省临邑	116.86	37.2	-754
山东省兖州	116.83	35.54	-761
山东省宁津	116.8	37.64	-768
山东省宁阳	116.8	35.76	-768
山东省齐河	116.76	36.79	-778
山东省肥城	116.76	36.24	-778
山东省长清	116.73	36.55	-785
山东省禹城	116.66	36.95	-802
山东省鱼台	116.65	35	-804
山东省济宁	116.59	35.38	-818
山东省陵县	116.58	37.34	-821
山东省汶上	116.49	35.71	-842
山东省平阴	116.46	36.29	-850
山东省平原	116.44	37.16	-854
山东省嘉祥	116.34	35.41	-878
山东省金乡	116.32	35.07	-883
山东省东平	116.3	35.91	-888
山东省德州	116.29	37.45	-890
山东省茌平	116.27	36.58	-895
山东省高唐	116.23	36.86	-905
山东省东阿	116.23	36.32	-905
山东省梁山	116.1	35.8	-936
山东省巨野	116.08	35.38	-941
山东省武城	116.08	37.2	-941
山东省单县	116.07	34.82	-943
山东省夏津	116	36.95	-960
山东省聊城	115.97	36.45	-967
山东省郓城	115.94	35.59	-974
山东省成武	115.88	34.97	-989
山东省阳谷	115.78	36.11	-1013
山东省临清	115.72	36.68	-1027
山东省莘县	115.67	36.24	-1039
山东省定陶	115.57	35.07	-1063
山东省曹县	115.53	34.83	-1073
山东省鄄城	115.5	35.57	-1080
山东省冠县	115.45	35.47	-1092
山东省荷泽	115.43	35.24	-1097
山东省东明	115.08	35.31	-1181
浙江省嵊四	122.45	30.72	588
浙江省普陀	122.3	29.97	552
浙江省岱山	122.2	30.26	528
浙江省定海	122.11	30.03	506
浙江省象山	121.8	29.48	432
浙江省镇海	121.72	29.96	413
浙江省宁波	121.56	29.86	374
浙江省鄞县	121.56	29.86	374
浙江省椒江	121.44	28.67	346
浙江省宁海	121.42	29.3	341
浙江省奉化	121.41	29.66	338
浙江省三门	121.38	29.11	331
浙江省温岭	121.36	28.36	326
浙江省黄岩	121.27	28.64	305
浙江省慈溪	121.23	30.18	295
浙江省玉环	121.23	28.14	295
浙江省余姚	121.16	30.04	278
浙江省临海	121.13	28.8	271
浙江省洞头	121.12	27.84	269
浙江省天台	121.03	29.15	247
浙江省平湖	121.02	30.7	245
浙江省乐清	120.94	28.14	226
浙江省海盐	120.92	30.53	221
浙江省嘉善	120.92	30.84	221
浙江省新昌	120.89	29.49	214
浙江省上虞	120.87	30.03	209
浙江省嵊县	120.81	29.6	194
浙江省嘉兴	120.76	30.77	182
浙江省仙居	120.73	28.85	175
浙江省海宁	120.69	30.53	166
浙江省永喜	120.68	28.16	163
浙江省瓯海	120.65	28.01	156
浙江省温州	120.65	28.01	156
浙江省瑞安	120.62	27.8	149
浙江省缙云	120.6	28.66	144
浙江省绍兴	120.58	30.01	139
浙江省平阳	120.55	27.68	132
浙江省桐乡	120.54	30.64	130
浙江省苍南	120.36	27.53	86
浙江省余杭	120.3	30.43	72
浙江省青田	120.28	28.45	67
浙江省萧山	120.25	30.16	60
浙江省诸暨	120.23	29.71	55
浙江省东阳	120.23	29.27	55
浙江省杭州	120.19	30.26	46
浙江省湖州	120.1	30.86	24
浙江省文成	120.08	27.08	19
浙江省德清	120.08	30.54	19
浙江省义乌	120.06	29.32	14
浙江省永康	120.02	28.92	5
浙江省富阳	119.95	30.07	-12
浙江省丽水	119.92	28.45	-19
浙江省长兴	119.91	30.01	-22
浙江省浦江	119.88	29.46	-29
浙江省武义	119.81	28.9	-46
浙江省临安	119.72	30.23	-67
浙江省泰顺	119.7	27.57	-72
浙江省安吉	119.68	30.68	-77
浙江省桐庐	119.64	29.8	-86
浙江省金华	119.64	29.12	-86
浙江省云和	119.56	28.12	-106
浙江省兰溪	119.48	29.19	-125
浙江省松阳	119.48	28.46	-125
浙江省建德	119.27	29.49	-175
浙江省遂昌	119.25	28.59	-180
浙江省龙泉	119.13	28.08	-209
浙江省庆无	119.06	27.61	-226
浙江省淳安	119.05	29.61	-228
浙江省衢州	118.88	28.97	-269
浙江省江山	118.61	28.74	-334
浙江省常山	118.5	28.9	-360
浙江省开化	118.39	29.15	-386
四川省通江	108.24	31.95	-2822
四川省百沙	108.18	32	-2837
四川省万源	108.06	32.07	-2866
四川省开江	107.87	31.1	-2911
四川省宜汉	107.71	31.39	-2950
四川省达县	107.49	31.23	-3002
四川省大竹	107.21	30.75	-3070
四川省平昌	107.11	31.59	-3094
四川省渠县	106.94	30.85	-3134
四川省邻水	106.91	30.36	-3142
四川省南江	106.83	32.36	-3161
四川省华云	106.74	30.41	-3182
四川省巴中	106.73	31.86	-3185
四川省广安	106.61	30.48	-3214
四川省营山	106.57	31.07	-3223
四川省蓬安	106.44	31.04	-3254
四川省岳池	106.43	30.55	-3257
四川省仪陇	106.38	31.52	-3269
四川省旺苍	106.33	32.25	-3281
四川省武胜	106.3	30.38	-3288
四川省南充	106.06	30.8	-3346
四川省南部	106.03	31.34	-3353
四川省阆中	105.97	31.75	-3367
四川省苍溪	105.96	31.75	-3370
四川省光元	105.86	32.44	-3394
四川省西充	105.84	31.01	-3398
四川省古蔺	105.79	28.03	-3410
四川省合江	105.78	28.79	-3413
四川省蓬溪	105.74	30.78	-3422
四川省遂宁	105.58	30.52	-3461
四川省泸县	105.46	28.96	-3490
四川省剑阁	105.45	32.03	-3492
四川省叙水	105.44	28.19	-3494
四川省泸州	105.39	28.91	-3506
四川省纳溪	105.38	28.77	-3509
四川省盐亭	105.35	31.23	-3516
四川省射洪	105.31	30.9	-3526
四川省安岳	105.3	30.12	-3528
四川省隆昌	105.25	29.64	-3540
四川省青川	105.21	32.59	-3550
四川省梓潼	105.16	31.64	-3562
四川省三台	105.06	31.1	-3586
四川省兴文	105.06	28.36	-3586
四川省江安	105.06	28.71	-3586
四川省内江	105.04	29.59	-3590
四川省乐至	105.02	30.3	-3595
四川省富顺	104.97	29.24	-3607
四川省南溪	104.96	28.87	-3610
四川省双流	104.94	30.57	-3614
四川省长宁	104.91	28.6	-3622
四川省资中	104.85	29.81	-3636
四川省琪县	104.81	28.38	-3646
四川省绵阳	104.73	31.48	-3665
四川省威远	104.7	29.57	-3672
四川省江油	104.7	31.8	-3672
四川省中江	104.68	31.06	-3677
四川省资阳	104.6	30.19	-3696
四川省宜宾	104.56	29.77	-3706
四川省简阳	104.53	30.38	-3713
四川省筠连	104.53	28.16	-3713
四川省高县	104.52	28.4	-3715
四川省平武	104.52	32.42	-3715
四川省北川	104.44	31.89	-3734
四川省安县	104.41	31.64	-3742
四川省德阳	104.37	31.13	-3751
四川省金堂	104.32	30.88	-3763
四川省广汉	104.25	30.99	-3780
四川省南坪	104.19	33.23	-3794
四川省绵竹	104.19	31.32	-3794
四川省什邡	104.16	31.13	-3802
四川省屏由	104.15	28.68	-3804
四川省新都	104.13	30.82	-3809
四川省仁寿	104.09	30	-3818
四川省井研	104.06	29.67	-3826
四川省成都	104.06	30.67	-3826
四川省沐川	103.98	28.96	-3845
四川省彭县	103.94	30.99	-3854
四川省犍为	103.93	29.21	-3857
四川省茂汶	103.89	31.67	-3866
四川省郫县	103.86	30.8	-3874
四川省彭由	103.83	30.22	-3881
四川省青神	103.81	29.86	-3886
四川省眉由	103.81	30.05	-3886
四川省温江	103.81	30.97	-3886
四川省新津	103.78	30.42	-3893
四川省乐由	103.73	29.59	-3905
四川省崇庆	103.69	30.63	-3914
四川省雷波	103.62	28.21	-3931
四川省汶川	103.61	31.46	-3934
四川省松潘	103.61	32.64	-3934
四川省灌县	103.61	31.04	-3934
四川省夹江	103.59	29.75	-3938
四川省大邑	103.53	30.58	-3953
四川省丹棱	103.53	30.04	-3953
四川省马边	103.53	28.87	-3953
四川省娥眉	103.5	29.62	-3960
四川省邛崃	103.47	30.42	-3967
四川省洪雅	103.38	29.95	-3989
四川省蒲江	103.29	30.2	-4010
四川省峨边	103.25	29.23	-4020
四川省金阳	103.22	27.73	-4027
四川省理县	103.16	31.42	-4042
四川省美姑	103.14	28.33	-4046
四川省金口	103.13	29.24	-4049
四川省名山	103.06	30.09	-4066
四川省雅安	102.97	29.97	-4087
四川省黑水	102.95	32.06	-4092
四川省若尔盖	102.94	33.62	-4094
四川省芦山	102.91	30.17	-4102
四川省宝兴	102.84	30.36	-4118
四川省昭觉	102.83	28.03	-4121
四川省荣经	102.81	29.79	-4126
四川省布拖	102.8	27.7	-4128
四川省天全	102.78	30.09	-4133
四川省宁南	102.76	27.07	-4138
四川省甘洛	102.74	28.96	-4142
四川省汉源	102.66	29.4	-4162
